Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint,Description
MK4_A_IN_2,5.098,23.2539,TopLayer,0,Mic2,PIN2,Microphone
MK2_A_IN_2,5.098,37.8407,TopLayer,0,Mic2,PIN2,Microphone
MK3_A_IN_2,5.098,32.9785,TopLayer,0,Mic2,PIN2,Microphone
Q1_H1,9.671,20.566,TopLayer,0,MOSFET-N,X1-DFN1212-3,N-Channel MOSFET
Q1_H2,16.237,20.439,TopLayer,0,MOSFET-N,X1-DFN1212-3,N-Channel MOSFET
Q1_H3,21.825,20.82,TopLayer,0,MOSFET-N,X1-DFN1212-3,N-Channel MOSFET
Q1_H4,28.448,20.709,TopLayer,0,MOSFET-N,X1-DFN1212-3,N-Channel MOSFET
Q1_H5,34.436,20.947,TopLayer,0,MOSFET-N,X1-DFN1212-3,N-Channel MOSFET
Q1_H6,40.367,20.82,TopLayer,0,MOSFET-N,X1-DFN1212-3,N-Channel MOSFET
Q1_H7,46.59,20.947,TopLayer,0,MOSFET-N,X1-DFN1212-3,N-Channel MOSFET
Q1_H8,52.851,20.947,TopLayer,0,MOSFET-N,X1-DFN1212-3,N-Channel MOSFET
